"Sample","Sample_Name","Source","Label","type","a_pinene","b_pinene","myrcene","a_phella","d_carene","ocimene","g_terpinene","terpinolene","linalool","b_phella_limonene","b_fenchol","c_sabinene","camphor","borneol","a_terpineol","c_bergam","d_guaiene","BCP","a_humulene","g_cadinene","eudesma","tr_BCP","a_guaiene","g_selinene","a_gurjunen","BCP_oxide","t_bergam","tb_farnesene","aromadendrene","g_elemene","guaiol","g_eudesmol","b_eudesmol","a_bisabolol","thc_total","CBG","CBC","THCV","CBD","CBGM","chemical_total","mono_total","sesqui_total","canna_total","a_pinene_norm","b_pinene_norm","myrcene_norm","a_phella_norm","d_carene_norm","ocimene_norm","g_terpinene_norm","terpinolene_norm","linalool_norm","b_phella_limonene_norm","b_fenchol_norm","c_sabinene_norm","camphor_norm","borneol_norm","a_terpineol_norm","c_bergam_norm","d_guaiene_norm","BCP_norm","a_humulene_norm","g_cadinene_norm","eudesma_norm","tr_BCP_norm","a_guaiene_norm","g_selinene_norm","a_gurjunen_norm","BCP_oxide_norm","t_bergam_norm","tb_farnesene_norm","aromadendrene_norm","g_elemene_norm","guaiol_norm","g_eudesmol_norm","b_eudesmol_norm","a_bisabolol_norm","thc_total_norm","CBG_norm","CBC_norm","THCV_norm","CBD_norm","CBGM_norm"
1,"Northern Lights","TRIMBOS Institute","i",5,0.633816577443576,0.342750809076606,0.638920219764981,0,0,0,0,0.176384864045281,0.176384864045281,0.205844537584368,0,0,0,0,0.225061385795954,0,0,1.05695604368118,0.402236067414194,0.615769212137651,0.767862332985622,0.0547909789018547,0,0.117674744537345,0.154733156643392,0,0.169078003871644,0.291658978113762,0,0,0.630562669629184,0.701815152914217,0.345777041620695,0.313550090842208,136.196457885126,2.27393710355315,1.54893413362979,0.665206471645414,0.562749894218647,0.16228542764643,149.431198646869,2.39916325775605,5.62246447329295,141.40957091582,0.264182345821846,0.142862645119525,0.266309605108978,0,0,0,0,0.0735193253210517,0.0735193253210517,0.0857984703287327,0,0,0,0,0.0938082829788148,0,0,0.187988034197776,0.0715408819966476,0.109519449177953,0.136570419721283,0.0097450111356177,0,0.0209293887220288,0.0275205218954043,0,0.0300718670032998,0.0518738676783393,0,0,0.112150583187212,0.124823403731208,0.0614991954619113,0.055767376091319,0.963134652082377,0.016080503524806,0.0109535311054148,0.00470411208617137,0.00397957430019818,0.00114762690103231
2,"Amnesia Haze","TRIMBOS Institute","s",1,0.261113789037864,0,0.734631851104283,0.11468341004757,0.124444376257581,0.57834519086323,0,1.75703746116253,0.141549895885288,0.468542263920665,0,0,0,0,0.290396687667897,0,0,2.13913391641871,0.765195850945536,0.503601056355804,0.655149602499926,0.124634206181229,0.293382396554972,0.606305583526469,0,0,0.273793863731312,0.454677466703789,0,0.112419222903937,0,0,0,0,207.588817354167,11.6383490556269,3.05403558501474,1.48000494450943,0.721742013693652,0.227484502791143,235.109471547571,4.4707449259469,5.92829316582169,224.710433455803,0.0584049847090213,0,0.164319786360589,0.0256519689553257,0.027835266453101,0.129362153386717,0,0.393007762747812,0.031661367004808,0.104801833180279,0,0,0,0,0.0649548772023471,0,0,0.360834705130886,0.129075237938149,0.0849487436382547,0.11051234886241,0.0210236239496018,0.0494885101577644,0.10227321196293,0,0,0.0461842651962309,0.0766961845485536,0,0.0189631686152207,0,0,0,0,0.92380586945464,0.0517926509981836,0.0135909825727581,0.00658627604312161,0.00321187584659085,0.00101234508470603
3,"Northern Lights","TRIMBOS Institute","i",5,0.908247501392058,0.419377917013237,1.36920942852432,0,0,0.176307380598722,0,0.223127856169233,0.298524776693427,0.27621465911257,0,0,0,0,0.315765625749574,0,0,0.951355840422788,0.343086236942353,0.330725481864713,0.423863245726359,0,0,0,0.110409322023324,0,0.195259660215934,0.320736380961549,0,0.19389297445198,0.461113005694365,0.507681887625188,0.229467787069118,0.26535086127317,196.216383093734,10.8659286225516,1.73197679456186,1.11942891762986,0.748188393392649,0.09517301233307,219.096796663727,3.98677514525314,4.33294268427084,210.777078834203,0.227815080685818,0.105192267367416,0.343437836005015,0,0,0.0442230560227714,0,0.0559670029133447,0.074878759352372,0.0692827282826435,0,0,0,0,0.0792032693706194,0,0,0.219563449079614,0.0791808851263603,0.0763281460115524,0.0978234139272229,0,0,0,0.0254813714531985,0,0.0450639840967094,0.0740227610500975,0,0.0447485666394429,0.106420287387661,0.117167921345496,0.0529588789397368,0.0612403349429082,0.930918979326389,0.0515517563989902,0.00821710218274837,0.00531096134276727,0.00354966677368734,0.000451533975418327
4,"Amnesia","TRIMBOS Institute","s",1,0.231266942823175,0.43619429478225,0.486405591943374,0,0,0.625161283090644,0,1.07334908383382,0.132389788069433,0.370945078969019,0,0,0,0,0.190235350181432,0,0,2.87816013257059,1.02720144051373,0.477151825972587,0.602360583506142,0.127912059864881,0.419665274355391,0.641686046629589,0.161715407320446,0,0.23133233853153,0.402590334119766,0,0.118369471597092,0,0,0,0,122.429529619979,8.39833753517805,1.90425199648504,0.713569452415367,0.448454622244217,0.132032613595865,144.660268168573,3.54594741369314,7.08814491498174,134.026175839898,0.0652200712086444,0.123012059653741,0.137172251924847,0,0,0.176303032773837,0,0.30269740597081,0.037335519291175,0.104610992688883,0,0,0,0,0.0536486664880627,0,0,0.406052664990979,0.144918233590654,0.06731688357049,0.0849814148456491,0.0180459148901601,0.0592066442474071,0.0905294762347903,0.022814912683097,0,0.0326365136867585,0.0567977008016353,0,0.0166996404583803,0,0,0,0,0.913474766050391,0.0626619201999046,0.0142080603624757,0.00532410514545881,0.00334602266634782,0.000985125575421821
5,"Lemon Haze","TRIMBOS Institute","s",1,0.639578547773608,0.369698442517272,0.692915111386464,0,0,0.123131889702978,0,0,0.0636066376236885,0.253481897460739,0,0,0,0,0.18362601668895,0,0,1.3701120101877,0.399341504975056,0.367724188798086,0.468957836603398,0.0525822902191066,0.1040483896906,0.0906783657354875,0,0,0.256566149345512,0.331569314581902,0,0.140627901691201,0.261164369925355,0.309573077349037,0.145347447352307,0.251664616062512,145.444108129591,5.23848694335768,2.05333695088143,0.802144174477579,0.447877266654569,0,160.861949470634,2.3260385431537,4.54995746251726,153.985953464963,0.274964724748908,0.158939087060882,0.297894939628556,0,0,0.0529363066942273,0,0,0.0273454787801792,0.108975794148734,0,0,0,0,0.0789436689385143,0,0,0.301126333921743,0.087768184266523,0.0808192586034953,0.103068619974295,0.0115566553428866,0.0228679917444843,0.0199294974694818,0,0,0.0563886918634107,0.072873058113924,0,0.0309075200921546,0.0573992992411112,0.0680386750643962,0.0319447925721691,0.0553114217299252,0.944528412214463,0.0340192519218944,0.0133345730872046,0.00520920354375113,0.00290855923268662,0
6,"Amnesia","TRIMBOS Institute","s",1,0.26706778686635,0.261850022787659,0.449086844845619,0.0511889900773787,0,0.447906243163257,0,1.16070895681202,0.138828025103207,0.331435346422542,0,0,0,0,0.282607559709887,0,0,2.13763922599394,0.79858609700393,0.595868055954236,0.823921199888224,0.181084059047053,0,0.803889658490767,0,0,0,0,0,0,0,0.153803283118271,0,0.140258007757542,140.435875060873,13.9751012710601,3.46379720721679,0.956199507701731,0.436495944268852,0,168.293198354162,3.39067977578792,5.63504958725397,159.26746899112,0.0787652637602114,0.0772264088922436,0.132447436662243,0.0150969697707545,0,0.132099246399396,0,0.342323378662998,0.040944009544796,0.0977489377762086,0,0,0,0,0.0833483485311484,0,0,0.379347012460922,0.141717669851614,0.105743178782675,0.146213655644108,0.0321353088811589,0,0.142658843732112,0,0,0,0,0,0,0,0.0272940425344547,0,0.0248902881129555,0.881761203028238,0.0877461126216506,0.021748303210682,0.00600373393109576,0.00274064720833347,0
7,"Lemon Haze","TRIMBOS Institute","s",1,0.456930523993086,0.855290061214959,0.586522394774972,0.131948022242957,0.171048453101076,0.466769359320387,0,1.96213779299872,0.144174872837716,0.518048845063686,0,0,0,0,0.337209352344887,0,0,2.04910853473528,0.710005506112577,0.462736421998785,0.658506999979507,0.142023445615672,0,0.731887051125522,0,0,0,0,0,0.132246886927256,0,0,0,0.04880299203795,193.945979115041,14.3176420633386,2.3801809578676,1.42659064867297,0.678369529880158,0.136260853494967,223.45042068472,5.63007967789245,4.93531783853255,212.885023168295,0.0811588023855699,0.151914379573244,0.104176570906813,0.0234362619699817,0.0303811780449093,0.082906350535898,0,0.348509773441293,0.0256079631348461,0.0920144784269929,0,0,0,0,0.0598942415804526,0,0,0.415192820761581,0.143862164371502,0.0937602069690355,0.133427475498783,0.0287769603219518,0,0.148295829178681,0,0,0,0,0,0.0267960223138491,0,0,0,0.00988852058461566,0.911036277839601,0.0672552810444532,0.011180593742313,0.00670122598312228,0.0031865535667292,0.000640067823781321
8,"Northern Lights","TRIMBOS Institute","i",5,0.424747640927809,0.80699456055054,1.1388760606485,0.181216738039777,0.188498241749392,1.41881448208461,0,3.05000278463312,0.286031624193112,0.741461027164005,0,0,0,0,0.334733422384226,0,0,4.43311827349481,1.61591159689825,0.752825114075488,1.05646601200778,0.140997780620273,0,1.32315837592893,0,0,0,0.656676525113659,0,0.33950708068208,0,0.172924610027217,0,0.105477747649864,202.772690288464,18.8543017852553,2.66721395996933,1.2886652490649,0.596169810649357,0.144660092095973,245.492140884372,8.57137658237509,10.5970631164984,226.323701185499,0.0495541920070573,0.0941499364536058,0.132869679648695,0.021142081006265,0.0219915949250196,0.16552936024326,0,0.355835816490048,0.033370558561301,0.0865043111848143,0,0,0,0,0.0390524694799343,0,0,0.418334610708601,0.152486738932645,0.0710409200926084,0.0996942266355848,0.0133053638607433,0,0.124860856388496,0,0,0,0.0619677846488705,0,0.0320378464249692,0,0.016318163638942,0,0.00995348866853944,0.89594103147981,0.0833067932633443,0.0117849520222508,0.00569390321170424,0.0026341466118068,0.000639173411084362
9,"Champagne Haze","TRIMBOS Institute","s",1,0.346712202950721,0.658735447564394,0.926879210842807,0.164110147095975,0.168733124285668,0.99397335461264,0,2.57296950610798,0.184896915035241,0.651828697470441,0,0,0,0,0.348995975854981,0,0,4.47362819840212,1.63707220249016,1.01651206581585,1.23657790997437,0.266266899505452,0,1.08387009482526,0,0,0,0.518706800475585,0,0.148187663820699,0,0.222298154765428,0,0.104196707034834,204.927718900802,15.8352172553399,2.955654594477,1.38069559605512,0.767744103561408,0.212995944737839,243.805177673904,7.01783458182085,10.7073166971098,226.080026394973,0.0494044421977189,0.0938659126093962,0.132074815961581,0.0233847271808158,0.0240434741398376,0.141635335376449,0,0.366632965783072,0.0263467189030362,0.0928817414931598,0,0,0,0,0.0497298663549335,0,0,0.417810393112748,0.15289285343844,0.0949362099367286,0.115489057151748,0.0248677523078519,0,0.101227051135774,0,0,0,0.0484441447982574,0,0.0138398506379006,0,0.0207613318120527,0,0.00973135566849912,0.90643884897104,0.0700425309915482,0.0130734883643074,0.00610711002679634,0.00339589531991703,0.000942126326390836
10,"OG Kush","TRIMBOS Institute","hs",2,0.24970019517108,0.358076364745497,0.520622521313443,0,0.098952154828816,0.299230565966529,0,0.848559478565107,0.136612018223861,0.376888198649339,0,0,0,0,0.31333039249757,0,0,1.97298229342677,0.696168397018928,0.474454622223454,0.599672140901246,0.323075471466206,0,0,0,0,0,0,0,0,0,0,0,0.108569207354501,214.163661112209,16.0567947644725,3.07905479065589,1.54076669265059,0.742430826728591,0.15793927072398,243.117541479793,3.20197188996124,4.1749221323911,235.740647457441,0.0779832564907689,0.111829952620175,0.162594344736657,0,0.0309035051616314,0.0934519653044646,0,0.265011532807485,0.0426649648774758,0.11770503040047,0,0,0,0,0.0978554476008729,0,0,0.472579423247059,0.166750031483871,0.113643945246883,0.143636724682526,0.0773847897568261,0,0,0,0,0,0,0,0,0,0,0,0.0260050855828346,0.908471506386581,0.0681121178619452,0.0130611959535394,0.00653585501383994,0.00314935432109825,0.000669970462995752
11,"Santa Maria","TRIMBOS Institute","hs",2,1.98968656161704,0.607828258419897,1.89952345417056,0,0,0,0,0,0.178092436687123,0.327668698043548,0,0,0,0.467761844144697,0.47955893308365,0,0,1.02756729039829,0.387704366928794,0.325894071471213,0.425798120641617,0,0,0.126045803970077,0,0,0.242578211802031,0.368583846611778,0,0.252118387380374,0.342549209572984,0.409129592819736,0.22599002230081,0.233091595104128,98.8861313970478,3.61229838194127,1.33975258458774,0.494422815159822,0.356568276956759,0,115.006344160862,5.95012018616652,4.36705051900183,104.689173455693,0.33439434824239,0.102153946374569,0.319241190890023,0,0,0,0,0,0.0299308973793793,0.0550692570555713,0,0,0,0.0786138480416244,0.0805965120164431,0,0,0.23530006944668,0.0887794554337811,0.0746256701298024,0.097502449030276,0,0,0.028862914093077,0,0,0.0555473793459748,0.0844010952032733,0,0.0577319603433395,0.0784394886394123,0.0936855644420733,0.0517488912293289,0.0533750626629812,0.944568842535551,0.0345049852119624,0.0127974320587673,0.00472276930688609,0.00340597088683355,0
12,"LA Confidential","TRIMBOS Institute","i",5,0.399687667298851,0.608994899047552,0.49839471056217,0,0,0.293711043466543,0,0.129173090295178,0.540714581217343,2.27061588944508,0.409131404598751,0.286874000483809,0,0,0.51724286356322,0,0,2.20474996261588,0.635968142914824,0.78849092280882,1.23524789925771,0.0569996997660385,0.23319357128713,0.553079930582277,0.11079718764992,0,0.282792567118446,0.296648575682858,0,0.270838846391768,0,0.155528033587603,0,0.666646022099546,207.463361749417,10.3766475264595,2.00100552672426,0.422771225333882,0.930969911134386,0,234.64027745081,5.9545401499785,7.49098136176282,221.194755939069,0.0671231794952788,0.10227404362195,0.0836999496197821,0,0,0.0493255626914538,0,0.0216932100618458,0.0908071098016351,0.38132514556196,0.0687091520577334,0.0481773559768245,0,0,0.0868652911115373,0,0,0.294320577791031,0.0848978407770547,0.105258695053443,0.164898007297541,0.00760910980996288,0.0311299094238106,0.073832773554268,0.0147907440025784,0,0.037751070715773,0.0396007627514706,0,0.0361553224220054,0,0.0207620371853393,0,0.0889931492157214,0.937921701030586,0.0469118152571296,0.00904635156574627,0.00191130763267435,0.00420882451386341,0
13,"S5 Haze","TRIMBOS Institute","s",1,0.407135079804824,0.840130846641727,0.411751652426345,0,0.152982249854643,0.200050933019304,0,0.562588148221127,0.134154776588778,0.428306957659427,0,0,0,0,0.268345671455535,0.167400495551667,0,2.44255486680723,0.877073075039055,0.323039997787194,0.351331510446156,0.150869976208845,0.146733645878808,0.330140012910362,0,0,0.259284592123628,0.315867617441552,0.138566243724152,0.122596554855501,0,0,0,0,185.63326218774,12.251595732938,2.42876070724677,1.37110149877341,0.554284612960472,0,211.269909644104,3.40544631567171,5.62545858877415,202.239004739659,0.119554103064613,0.246702126172268,0.120909746993069,0,0.0449228194115483,0.0587444095355955,0,0.165202471591498,0.0393941833619294,0.12577116711204,0,0,0,0,0.0787989727574386,0.0297576620483389,0,0.434196577623281,0.155911391257824,0.0574246512865341,0.062453843522598,0.0268191426224188,0.0260838549539093,0.058686773300433,0,0,0.0460912809208199,0.0561496653929477,0.0246319907146178,0.0217931663562768,0,0,0,0,0.917890504982977,0.0605797865189726,0.0120093584834108,0.00677960960368859,0.00274074041095089,0
14,"Skunk","TRIMBOS Institute","i",5,0.448053681259406,0.231220301198701,1.34175648340531,0,0,0.0496465047421809,0,0,0.276583419488225,0.212145582613306,0,0,0,0,0.250295019784095,0.152748013786382,0,0.637489331827573,0.260295188067438,0.408022949522012,0.410755897916496,0,0,0.0544715946520286,0,0,0.126534329031622,0.207665252895572,0,0,0.589879648987515,0.620992046676677,0.32946292152267,0,136.167148853059,6.61049826267748,1.4293235051458,0.485469224169789,0.510001428715792,0.119280774460018,151.929740215605,2.80970099249122,3.79831717488599,145.321722048228,0.159466677221813,0.0822935614204589,0.477544225165269,0,0,0.0176696754832128,0,0,0.0984387378683281,0.0755046829467811,0,0,0,0,0.0890824398941367,0.0402146547414033,0,0.167834675851342,0.0685290817176823,0.107422032109327,0.108141547691795,0,0,0.014340981056608,0,0,0.0333132603744236,0.0546729626131882,0,0,0.155300261096606,0.163491361591023,0.0867391811566024,0,0.937004784514384,0.0454887140718278,0.00983558056566004,0.00334065146853047,0.00350946452827291,0.000820804851324511
15,"Sheeva","TRIMBOS Institute","hs",2,1.1274898161024,0.566148410199856,3.63787110285778,0,0,0.21176136579913,0,0.142776578631857,0.34016723154914,0.451987507306474,0,0,0,0,0.382952420129115,0.0663597486406627,0,2.40671664564147,0.943630989826692,0.764949455443942,0.831813100120653,0,0,0.269219894486467,0.128584190478822,0,0.302702106428427,0.483829216239466,0,0.676781086363106,0.822156772416513,0.941336583209218,0.436076668556616,0.30262652202302,224.986771070773,9.13706465787599,1.89975608403176,1.25860006705954,0.847285486281724,0.0646055230984655,254.432020301571,6.86115443257575,9.37678297987507,238.19408288912,0.16432946192688,0.0825150367570603,0.530212683391253,0,0,0.0308638098559213,0,0.0208094104330278,0.0495787166564968,0.0658763057657621,0,0,0,0,0.0558145752135986,0.00707702724730724,0,0.256667627992125,0.100634833060759,0.0815790934999471,0.0887098594374992,0,0,0.0287113282950326,0.013713038976672,0,0.0322820851328331,0.0515986364702995,0,0.0721762557388443,0.0876800470034411,0.100390142891177,0.0465059999247658,0.0322740243292964,0.944552309368258,0.0383597465858516,0.00797566447070856,0.00528392666935147,0.00355712230969288,0.000271230596137602
16,"Edelweiss","TRIMBOS Institute","hs",2,0.638108955285002,0.25094600478509,1.42914765700837,0,0,0,0,0,0.313078000423277,0.372827532979597,0,0,0,0,0.126666773872798,0,0,1.29524892414872,0.553044212431827,0.466847969745582,0.572183666248273,0.21307845539708,0,0,0,0,0.153227586921881,0.210701926566375,0,0,0.493228966444454,0.545884092378718,0.280119977486381,0.201109299487406,141.551830091332,2.56962217796853,1.07986776567623,0.823981230827998,0.568401043084956,0,154.709152310501,3.13077492435413,4.98467507725669,146.59370230889,0.203818214564447,0.0801545977748175,0.456483679453002,0,0,0,0,0,0.100000162256271,0.119084744827676,0,0,0,0,0.0404586011237869,0,0,0.259846209446726,0.110948899147945,0.0936566501346586,0.114788558407537,0.0427467090822592,0,0,0,0,0.0307397341947129,0.0422699420324773,0,0,0.098949070661573,0.109512472511878,0.0561962360925929,0.0403455182876406,0.965606488286012,0.0175288715510714,0.00736639943372756,0.00562085013100886,0.00387739059818046,0
17,"Superpowerplant","TRIMBOS Institute","hs",2,0.666876107323412,0.297758317444056,1.78692118556905,0,0,0,0,0,0.219039591134129,0.206719163431274,0,0,0,0,0.157437452619855,0,0,0.845579201678341,0.310631052105619,0.285946306829604,0.320529746364287,0,0,0.133074459156135,0,0,0.226760775846442,0.305578387691865,0,0.251445521122458,0.478288950796437,0.515233414882924,0.298164698726307,0.23910314848445,181.482212231355,5.19500763819676,1.69693620646575,0.982729241017765,0.604362880720858,0,197.506335678962,3.33475181752177,4.21033566368487,189.961248197756,0.199977732621494,0.0892894985106674,0.535848327956532,0,0,0,0,0,0.0656839258571596,0.0619893697471308,0,0,0,0,0.0472111453070155,0,0,0.20083415414397,0.0737782155434506,0.0679153230693595,0.0761292618849682,0,0,0.0316066151931622,0,0,0.0538581229525967,0.0725781534065206,0,0.0597210154266878,0.113598769552221,0.122373477090421,0.0708173225469996,0.0567895691896423,0.95536439117533,0.0273477232197832,0.00893306515178918,0.00517331429615957,0.00318150615693837,0
