chemicals	estimate	rsquare	pvals_cor
a_pinene	0.13	0.017	1.1
b_pinene	0.131	0.017	1.04
myrcene	0.461	0.212	2.29e-15
a_phella	-0.039	0.001	22.3
d_carene	-0.076	0.006	8.33
ocimene	-0.037	0.001	23
g_terpinene	-0.07	0.005	10.1
terpinolene	-0.17	0.029	0.146
linalool	0.216	0.047	0.00761
b_phella_limonene	0.317	0.1	1.05e-06
b_fenchol	0.328	0.108	3.08e-07
c_sabinene	0.24	0.058	0.00124
camphor	-0.048	0.002	18
borneol	-0.034	0.001	24.7
a_terpineol	0.145	0.021	0.538
c_bergam	-0.02	0	32
d_guaiene	0.152	0.023	0.374
BCP	-0.103	0.011	3.41
a_humulene	-0.091	0.008	5.14
g_cadinene	0.004	0	41.7
eudesma	0.094	0.009	4.72
tr_BCP	-0.204	0.042	0.0179
a_guaiene	-0.19	0.036	0.0434
g_selinene	-0.147	0.021	0.503
a_gurjunen	0.08	0.006	7.45
BCP_oxide	0.048	0.002	18.2
t_bergam	-0.339	0.115	9.26e-08
tb_farnesene	-0.337	0.114	1.09e-07
aromadendrene	0.202	0.041	0.0205
g_elemene	0.408	0.166	1.12e-11
guaiol	0.425	0.181	7.76e-13
g_eudesmol	0.453	0.205	8.19e-15
b_eudesmol	0.326	0.106	3.82e-07
a_bisabolol	0.261	0.068	0.000235
thc_total	0.132	0.017	1
CBG	-0.158	0.025	0.275
CBC	-0.131	0.017	1.05
THCV	0.168	0.028	0.165
CBD	-0.016	0	34.6
CBGM	0.194	0.038	0.0348
chemical_total	0.157	0.025	0.294
mono_total	0.419	0.176	1.99e-12
sesqui_total	0.058	0.003	14.1
canna_total	0.119	0.014	1.81
