a_pinene,b_pinene,myrcene,a_phella,d_carene,ocimene,g_terpinene,terpinolene,linalool,b_phella_limonene,b_fenchol,c_sabinene,camphor,borneol,a_terpineol,c_bergam,d_guaiene,BCP,a_humulene,g_cadinene,eudesma,tr_BCP,a_guaiene,g_selinene,a_gurjunen,BCP_oxide,t_bergam,tb_farnesene,aromadendrene,g_elemene,guaiol,g_eudesmol,b_eudesmol,a_bisabolol,thc_total,CBG,CBC,THCV,CBD,CBGM
0,2.19825548691397e-73,1,1,1,1,1,1,1,0.0290352207841603,0.622667420863888,1,1,1,1,1,1,1,1,0.363909736324313,1,1,1,1,1,1,1,0.652351714317192,1,1,1,1,1,1,1,1,1,1,1,1
2.19825548691397e-73,0,1,7.59236737484351e-05,0.341251064416502,0.0522008589693334,1.48989211698019e-08,0.00652859420593901,1,1.62111195539272e-17,2.9076523128208e-08,6.85382980058974e-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0177172184502068,0.0355653584328024,1,1,1,1,1,1,0.0293452455528953,1,1,1,1,1
1,1,0,1,1,1,1,1,1,7.58990051609613e-05,1,1,0.00295399651921147,1,1,1,0.000268067080071325,1,1,0.00773896623489571,1,1,1,1,1,1,3.7332721996186e-11,0.0378715853411949,6.04494890055878e-07,5.97399051371891e-10,0.0338802841672483,0.0431840277977141,1,1,0.00297342139061346,1,1,1,1,1
1,7.59236737484351e-05,1,0,0.00269270719757582,2.60000593274796e-11,3.68346416492276e-34,1.49568007623504e-87,1,0.0156368336977099,1,0.0953796267911258,1,0.0103054696395271,0.00276446469164629,1,1,1,1,1,1,1,1,0.0136936288082788,1,1,1,1,1,1,1,1,1,1,7.2423065410214e-08,1.11660082289542e-08,1,1,1,1
1,0.341251064416502,1,0.00269270719757582,0,1.94772896259786e-05,3.62143588442786e-07,0.0169672955853641,1,1,1,0.864971056644395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0522008589693334,1,2.60000593274796e-11,1.94772896259786e-05,0,1.59217327749729e-16,1.30030172271518e-13,1,1,1,1,1,1,1,1,1,1,1,0.246766508929782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00165762568177029,1,1,1,1
1,1.48989211698019e-08,1,3.68346416492276e-34,3.62143588442786e-07,1.59217327749729e-16,0,1.15190544976076e-24,1,0.000148166473343531,1,1.49325158003174e-17,1,1,1.84535822547227e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.19078892369118e-09,1.85591966744043e-06,1,1,1,1
1,0.00652859420593901,1,1.49568007623504e-87,0.0169672955853641,1.30030172271518e-13,1.15190544976076e-24,0,1,1,1,1,1,0.00220478266161404,1,1,1,1,1,1,1,1,1,0.00150442297483188,1,1,1,1,1,1,1,1,1,1,1.81540834993203e-05,2.76267795973841e-14,1,1,1,1
1,1,1,1,1,1,1,1,0,4.77663708350738e-05,5.08827063249865e-19,1.93706976586491e-08,1,1,1,1,1,0.194346407266065,0.0142810836269689,1.70624698797672e-08,3.30292519402819e-09,1,1,1,1,1,1,1,1,0.668012057881865,1,0.347588283470311,1,1,4.44184619406494e-11,1,1,1,1,1
0.0290352207841603,1.62111195539272e-17,7.58990051609613e-05,0.0156368336977099,1,1,0.000148166473343531,1,4.77663708350738e-05,0,2.03983283547786e-45,4.10530558483847e-37,1,1,0.000356828202743083,0.137127722293854,1,1,1,1,1,1,6.90592123706901e-05,1,1,1,4.98517651106189e-05,1,0.0693028105664099,1.27459987628078e-12,0.574368791784514,0.000489848712744201,0.47171779865517,1,8.12632316236729e-09,1,1,1,1,1
0.622667420863888,2.9076523128208e-08,1,1,1,1,1,1,5.08827063249865e-19,2.03983283547786e-45,0,8.59649708729618e-61,1,1,0.00119819557259227,1,1,1,1,0.0453287491644129,0.000276186654339983,1,1,1,1,1,1,1,1,0.000207285014749851,1,0.00313366229989372,0.0320563612250376,3.81244191876656e-06,0.00130531516668981,1,1,1,1,1
1,6.85382980058974e-13,1,0.0953796267911258,0.864971056644395,1,1.49325158003174e-17,1,1.93706976586491e-08,4.10530558483847e-37,8.59649708729618e-61,0,1,1,1.96161449004455e-10,0.778759530731812,1,1,1,1,1,1,1,1,1,1,0.267840382298602,1,1,0.412176834865363,1,1,1,1,1.13212791905861e-06,1,1,1,1,1
1,1,0.00295399651921147,1,1,1,1,1,1,1,1,1,0,1,0.556203485929743,1,1,1,1,1,1,1,1,1,1,0.751595206531284,1,1,1,1,1,1,1,1,1,1,0.161536430946359,1,1.52551791022285e-14,0.189398335624331
1,1,1,0.0103054696395271,1,1,1,0.00220478266161404,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.00276446469164629,1,1,1.84535822547227e-05,1,1,0.000356828202743083,0.00119819557259227,1.96161449004455e-10,0.556203485929743,1,0,9.09277599097226e-07,8.15534673340737e-09,1,1,1,1,1,1,1,1,1,0.471579437648638,1,1,1,1,1,1,1,0.00342650494855956,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.137127722293854,1,0.778759530731812,1,1,9.09277599097226e-07,0,9.1554252847942e-11,1,1,1,1,0.719821016284076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.000268067080071325,1,1,1,1,1,1,1,1,1,1,1,8.15534673340737e-09,9.1554252847942e-11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.194346407266065,1,1,1,1,1,1,1,1,0,1.00236843786464e-150,2.55581985656394e-11,5.72393207994972e-19,3.97566198945832e-09,1.74496832770269e-15,2.78755660925452e-11,0.0165286645368874,1,0.328850885481047,3.06494432143579e-07,1,0.000512067331742185,1,1,1,0.0282543567663375,2.24420373764638e-07,1.45383561942683e-05,0.103004249211927,1,1,1
