Sample,Sample_Name,Source,Label,type,alpha-pinene,beta-pinene,myrcene,alpha-phellandrene,delta-3-carene,ocimene,gamma-terpinene,terpinolene*,linalool,limonene*,fenchol,sabinene hydrate*,camphor,borneol,terpineol,unidentified compound 1,delta-guaiene*,caryophyllene,alpha-humulene,gamma-cadinene*,eudesma*,unidentified compound 2,alpha-guaiene*,gamma-selinene*,gurjunen*,caryophyllene oxide,bergamotene*,farnesene,aromadendrene,gamma-elemene*,guaiol*,gamma-eudesmol*,beta-eudesmol,alpha-bisabolol,THC,CBG,CBC,THCV,CBD,CBGM*,chemical total,monoterpenes,sesquiterpenes,cannabinoids,alpha-pinene norm,beta-pinene norm,myrcene norm,alpha-phellandrene norm,delta-3-carene norm,ocimene norm,gamma-terpinene norm,terpinolene* norm,linalool norm,limonene* norm,fenchol norm,sabinene hydrate* norm,camphor norm,borneol norm,terpineol norm,unidentified compund 1 norm,delta-guaiene* norm,caryophyllene norm,alpha-humulene norm,gamma-cadinene* norm,eudesma* norm,unidentified compound 2 norm,alpha-guaiene* norm,gamma-selinene* norm,gurjunen* norm,caryophyllene oxide norm,bergamotene* norm,farnesene norm,aromadendrene norm,gamma-elemene* norm,guaiol* norm,gamma-eudesmol* norm,beta-eudesmol norm,alpha-bisabolol norm,THC norm,CBG norm,CBC norm,THCV norm,CBD norm,CBGM* norm
1,Northern Lights,TRIMBOS Institute,i,5,0.633816577,0.342750809,0.63892022,0,0,0,0,0.176384864,0.176384864,0.205844538,0,0,0,0,0.225061386,0,0,1.056956044,0.402236067,0.615769212,0.767862333,0.054790979,0,0.117674745,0.154733157,0,0.169078004,0.291658978,0,0,0.63056267,0.701815153,0.345777042,0.313550091,136.1964579,2.273937104,1.548934134,0.665206472,0.562749894,0.162285428,149.4311986,2.399163258,5.622464473,141.4095709,0.264182346,0.142862645,0.266309605,0,0,0,0,0.073519325,0.073519325,0.08579847,0,0,0,0,0.093808283,0,0,0.187988034,0.071540882,0.109519449,0.13657042,0.009745011,0,0.020929389,0.027520522,0,0.030071867,0.051873868,0,0,0.112150583,0.124823404,0.061499195,0.055767376,0.963134652,0.016080504,0.010953531,0.004704112,0.003979574,0.001147627
2,Amnesia Haze,TRIMBOS Institute,s,1,0.261113789,0,0.734631851,0.11468341,0.124444376,0.578345191,0,1.757037461,0.141549896,0.468542264,0,0,0,0,0.290396688,0,0,2.139133916,0.765195851,0.503601056,0.655149602,0.124634206,0.293382397,0.606305584,0,0,0.273793864,0.454677467,0,0.112419223,0,0,0,0,207.5888174,11.63834906,3.054035585,1.480004945,0.721742014,0.227484503,235.1094715,4.470744926,5.928293166,224.7104335,0.058404985,0,0.164319786,0.025651969,0.027835266,0.129362153,0,0.393007763,0.031661367,0.104801833,0,0,0,0,0.064954877,0,0,0.360834705,0.129075238,0.084948744,0.110512349,0.021023624,0.04948851,0.102273212,0,0,0.046184265,0.076696185,0,0.018963169,0,0,0,0,0.923805869,0.051792651,0.013590983,0.006586276,0.003211876,0.001012345
3,Northern Lights,TRIMBOS Institute,i,5,0.908247501,0.419377917,1.369209429,0,0,0.176307381,0,0.223127856,0.298524777,0.276214659,0,0,0,0,0.315765626,0,0,0.95135584,0.343086237,0.330725482,0.423863246,0,0,0,0.110409322,0,0.19525966,0.320736381,0,0.193892974,0.461113006,0.507681888,0.229467787,0.265350861,196.2163831,10.86592862,1.731976795,1.119428918,0.748188393,0.095173012,219.0967967,3.986775145,4.332942684,210.7770788,0.227815081,0.105192267,0.343437836,0,0,0.044223056,0,0.055967003,0.074878759,0.069282728,0,0,0,0,0.079203269,0,0,0.219563449,0.079180885,0.076328146,0.097823414,0,0,0,0.025481371,0,0.045063984,0.074022761,0,0.044748567,0.106420287,0.117167921,0.052958879,0.061240335,0.930918979,0.051551756,0.008217102,0.005310961,0.003549667,0.000451534
4,Amnesia,TRIMBOS Institute,s,1,0.231266943,0.436194295,0.486405592,0,0,0.625161283,0,1.073349084,0.132389788,0.370945079,0,0,0,0,0.19023535,0,0,2.878160133,1.027201441,0.477151826,0.602360584,0.12791206,0.419665274,0.641686047,0.161715407,0,0.231332339,0.402590334,0,0.118369472,0,0,0,0,122.4295296,8.398337535,1.904251996,0.713569452,0.448454622,0.132032614,144.6602682,3.545947414,7.088144915,134.0261758,0.065220071,0.12301206,0.137172252,0,0,0.176303033,0,0.302697406,0.037335519,0.104610993,0,0,0,0,0.053648666,0,0,0.406052665,0.144918234,0.067316884,0.084981415,0.018045915,0.059206644,0.090529476,0.022814913,0,0.032636514,0.056797701,0,0.01669964,0,0,0,0,0.913474766,0.06266192,0.01420806,0.005324105,0.003346023,0.000985126
5,Lemon Haze,TRIMBOS Institute,s,1,0.639578548,0.369698443,0.692915111,0,0,0.12313189,0,0,0.063606638,0.253481897,0,0,0,0,0.183626017,0,0,1.37011201,0.399341505,0.367724189,0.468957837,0.05258229,0.10404839,0.090678366,0,0,0.256566149,0.331569315,0,0.140627902,0.26116437,0.309573077,0.145347447,0.251664616,145.4441081,5.238486943,2.053336951,0.802144174,0.447877267,0,160.8619495,2.326038543,4.549957463,153.9859535,0.274964725,0.158939087,0.29789494,0,0,0.052936307,0,0,0.027345479,0.108975794,0,0,0,0,0.078943669,0,0,0.301126334,0.087768184,0.080819259,0.10306862,0.011556655,0.022867992,0.019929497,0,0,0.056388692,0.072873058,0,0.03090752,0.057399299,0.068038675,0.031944793,0.055311422,0.944528412,0.034019252,0.013334573,0.005209204,0.002908559,0
6,Amnesia,TRIMBOS Institute,s,1,0.267067787,0.261850023,0.449086845,0.05118899,0,0.447906243,0,1.160708957,0.138828025,0.331435346,0,0,0,0,0.28260756,0,0,2.137639226,0.798586097,0.595868056,0.8239212,0.181084059,0,0.803889658,0,0,0,0,0,0,0,0.153803283,0,0.140258008,140.4358751,13.97510127,3.463797207,0.956199508,0.436495944,0,168.2931984,3.390679776,5.635049587,159.267469,0.078765264,0.077226409,0.132447437,0.01509697,0,0.132099246,0,0.342323379,0.04094401,0.097748938,0,0,0,0,0.083348349,0,0,0.379347012,0.14171767,0.105743179,0.146213656,0.032135309,0,0.142658844,0,0,0,0,0,0,0,0.027294043,0,0.024890288,0.881761203,0.087746113,0.021748303,0.006003734,0.002740647,0
7,Lemon Haze,TRIMBOS Institute,s,1,0.456930524,0.855290061,0.586522395,0.131948022,0.171048453,0.466769359,0,1.962137793,0.144174873,0.518048845,0,0,0,0,0.337209352,0,0,2.049108535,0.710005506,0.462736422,0.658507,0.142023446,0,0.731887051,0,0,0,0,0,0.132246887,0,0,0,0.048802992,193.9459791,14.31764206,2.380180958,1.426590649,0.67836953,0.136260853,223.4504207,5.630079678,4.935317839,212.8850232,0.081158802,0.15191438,0.104176571,0.023436262,0.030381178,0.082906351,0,0.348509773,0.025607963,0.092014478,0,0,0,0,0.059894242,0,0,0.415192821,0.143862164,0.093760207,0.133427475,0.02877696,0,0.148295829,0,0,0,0,0,0.026796022,0,0,0,0.009888521,0.911036278,0.067255281,0.011180594,0.006701226,0.003186554,0.000640068
8,Northern Lights,TRIMBOS Institute,i,5,0.424747641,0.806994561,1.138876061,0.181216738,0.188498242,1.418814482,0,3.050002785,0.286031624,0.741461027,0,0,0,0,0.334733422,0,0,4.433118273,1.615911597,0.752825114,1.056466012,0.140997781,0,1.323158376,0,0,0,0.656676525,0,0.339507081,0,0.17292461,0,0.105477748,202.7726903,18.85430179,2.66721396,1.288665249,0.596169811,0.144660092,245.4921409,8.571376582,10.59706312,226.3237012,0.049554192,0.094149936,0.13286968,0.021142081,0.021991595,0.16552936,0,0.355835816,0.033370559,0.086504311,0,0,0,0,0.039052469,0,0,0.418334611,0.152486739,0.07104092,0.099694227,0.013305364,0,0.124860856,0,0,0,0.061967785,0,0.032037846,0,0.016318164,0,0.009953489,0.895941031,0.083306793,0.011784952,0.005693903,0.002634147,0.000639173
9,Champagne Haze,TRIMBOS Institute,s,1,0.346712203,0.658735448,0.926879211,0.164110147,0.168733124,0.993973355,0,2.572969506,0.184896915,0.651828697,0,0,0,0,0.348995976,0,0,4.473628198,1.637072202,1.016512066,1.23657791,0.2662669,0,1.083870095,0,0,0,0.5187068,0,0.148187664,0,0.222298155,0,0.104196707,204.9277189,15.83521726,2.955654594,1.380695596,0.767744104,0.212995945,243.8051777,7.017834582,10.7073167,226.0800264,0.049404442,0.093865913,0.132074816,0.023384727,0.024043474,0.141635335,0,0.366632966,0.026346719,0.092881741,0,0,0,0,0.049729866,0,0,0.417810393,0.152892853,0.09493621,0.115489057,0.024867752,0,0.101227051,0,0,0,0.048444145,0,0.013839851,0,0.020761332,0,0.009731356,0.906438849,0.070042531,0.013073488,0.00610711,0.003395895,0.000942126
10,OG Kush,TRIMBOS Institute,hs,2,0.249700195,0.358076365,0.520622521,0,0.098952155,0.299230566,0,0.848559479,0.136612018,0.376888199,0,0,0,0,0.313330392,0,0,1.972982293,0.696168397,0.474454622,0.599672141,0.323075471,0,0,0,0,0,0,0,0,0,0,0,0.108569207,214.1636611,16.05679476,3.079054791,1.540766693,0.742430827,0.157939271,243.1175415,3.20197189,4.174922132,235.7406475,0.077983256,0.111829953,0.162594345,0,0.030903505,0.093451965,0,0.265011533,0.042664965,0.11770503,0,0,0,0,0.097855448,0,0,0.472579423,0.166750031,0.113643945,0.143636725,0.07738479,0,0,0,0,0,0,0,0,0,0,0,0.026005086,0.908471506,0.068112118,0.013061196,0.006535855,0.003149354,0.00066997
11,Santa Maria,TRIMBOS Institute,hs,2,1.989686562,0.607828258,1.899523454,0,0,0,0,0,0.178092437,0.327668698,0,0,0,0.467761844,0.479558933,0,0,1.02756729,0.387704367,0.325894071,0.425798121,0,0,0.126045804,0,0,0.242578212,0.368583847,0,0.252118387,0.34254921,0.409129593,0.225990022,0.233091595,98.8861314,3.612298382,1.339752585,0.494422815,0.356568277,0,115.0063442,5.950120186,4.367050519,104.6891735,0.334394348,0.102153946,0.319241191,0,0,0,0,0,0.029930897,0.055069257,0,0,0,0.078613848,0.080596512,0,0,0.235300069,0.088779455,0.07462567,0.097502449,0,0,0.028862914,0,0,0.055547379,0.084401095,0,0.05773196,0.078439489,0.093685564,0.051748891,0.053375063,0.944568843,0.034504985,0.012797432,0.004722769,0.003405971,0
12,LA Confidential,TRIMBOS Institute,i,5,0.399687667,0.608994899,0.498394711,0,0,0.293711043,0,0.12917309,0.540714581,2.270615889,0.409131405,0.286874,0,0,0.517242864,0,0,2.204749963,0.635968143,0.788490923,1.235247899,0.0569997,0.233193571,0.553079931,0.110797188,0,0.282792567,0.296648576,0,0.270838846,0,0.155528034,0,0.666646022,207.4633617,10.37664753,2.001005527,0.422771225,0.930969911,0,234.6402775,5.95454015,7.490981362,221.1947559,0.067123179,0.102274044,0.08369995,0,0,0.049325563,0,0.02169321,0.09080711,0.381325146,0.068709152,0.048177356,0,0,0.086865291,0,0,0.294320578,0.084897841,0.105258695,0.164898007,0.00760911,0.031129909,0.073832774,0.014790744,0,0.037751071,0.039600763,0,0.036155322,0,0.020762037,0,0.088993149,0.937921701,0.046911815,0.009046352,0.001911308,0.004208825,0
13,S5 Haze,TRIMBOS Institute,s,1,0.40713508,0.840130847,0.411751652,0,0.15298225,0.200050933,0,0.562588148,0.134154777,0.428306958,0,0,0,0,0.268345671,0.167400496,0,2.442554867,0.877073075,0.323039998,0.35133151,0.150869976,0.146733646,0.330140013,0,0,0.259284592,0.315867617,0.138566244,0.122596555,0,0,0,0,185.6332622,12.25159573,2.428760707,1.371101499,0.554284613,0,211.2699096,3.405446316,5.625458589,202.2390047,0.119554103,0.246702126,0.120909747,0,0.044922819,0.05874441,0,0.165202472,0.039394183,0.125771167,0,0,0,0,0.078798973,0.029757662,0,0.434196578,0.155911391,0.057424651,0.062453844,0.026819143,0.026083855,0.058686773,0,0,0.046091281,0.056149665,0.024631991,0.021793166,0,0,0,0,0.917890505,0.060579787,0.012009358,0.00677961,0.00274074,0
14,Skunk,TRIMBOS Institute,i,5,0.448053681,0.231220301,1.341756483,0,0,0.049646505,0,0,0.276583419,0.212145583,0,0,0,0,0.25029502,0.152748014,0,0.637489332,0.260295188,0.40802295,0.410755898,0,0,0.054471595,0,0,0.126534329,0.207665253,0,0,0.589879649,0.620992047,0.329462922,0,136.1671489,6.610498263,1.429323505,0.485469224,0.510001429,0.119280774,151.9297402,2.809700992,3.798317175,145.321722,0.159466677,0.082293561,0.477544225,0,0,0.017669675,0,0,0.098438738,0.075504683,0,0,0,0,0.08908244,0.040214655,0,0.167834676,0.068529082,0.107422032,0.108141548,0,0,0.014340981,0,0,0.03331326,0.054672963,0,0,0.155300261,0.163491362,0.086739181,0,0.937004785,0.045488714,0.009835581,0.003340651,0.003509465,0.000820805
15,Sheeva,TRIMBOS Institute,hs,2,1.127489816,0.56614841,3.637871103,0,0,0.211761366,0,0.142776579,0.340167232,0.451987507,0,0,0,0,0.38295242,0.066359749,0,2.406716646,0.94363099,0.764949455,0.8318131,0,0,0.269219894,0.12858419,0,0.302702106,0.483829216,0,0.676781086,0.822156772,0.941336583,0.436076669,0.302626522,224.9867711,9.137064658,1.899756084,1.258600067,0.847285486,0.064605523,254.4320203,6.861154433,9.37678298,238.1940829,0.164329462,0.082515037,0.530212683,0,0,0.03086381,0,0.02080941,0.049578717,0.065876306,0,0,0,0,0.055814575,0.007077027,0,0.256667628,0.100634833,0.081579093,0.088709859,0,0,0.028711328,0.013713039,0,0.032282085,0.051598636,0,0.072176256,0.087680047,0.100390143,0.046506,0.032274024,0.944552309,0.038359747,0.007975664,0.005283927,0.003557122,0.000271231
16,Edelweiss,TRIMBOS Institute,hs,2,0.638108955,0.250946005,1.429147657,0,0,0,0,0,0.313078,0.372827533,0,0,0,0,0.126666774,0,0,1.295248924,0.553044212,0.46684797,0.572183666,0.213078455,0,0,0,0,0.153227587,0.210701927,0,0,0.493228966,0.545884092,0.280119977,0.201109299,141.5518301,2.569622178,1.079867766,0.823981231,0.568401043,0,154.7091523,3.130774924,4.984675077,146.5937023,0.203818215,0.080154598,0.456483679,0,0,0,0,0,0.100000162,0.119084745,0,0,0,0,0.040458601,0,0,0.259846209,0.110948899,0.09365665,0.114788558,0.042746709,0,0,0,0,0.030739734,0.042269942,0,0,0.098949071,0.109512473,0.056196236,0.040345518,0.965606488,0.017528872,0.007366399,0.00562085,0.003877391,0
17,Superpowerplant,TRIMBOS Institute,hs,2,0.666876107,0.297758317,1.786921186,0,0,0,0,0,0.219039591,0.206719163,0,0,0,0,0.157437453,0,0,0.845579202,0.310631052,0.285946307,0.320529746,0,0,0.133074459,0,0,0.226760776,0.305578388,0,0.251445521,0.478288951,0.515233415,0.298164699,0.239103148,181.4822122,5.195007638,1.696936206,0.982729241,0.604362881,0,197.5063357,3.334751818,4.210335664,189.9612482,0.199977733,0.089289499,0.535848328,0,0,0,0,0,0.065683926,0.06198937,0,0,0,0,0.047211145,0,0,0.200834154,0.073778216,0.067915323,0.076129262,0,0,0.031606615,0,0,0.053858123,0.072578153,0,0.059721015,0.11359877,0.122373477,0.070817323,0.056789569,0.955364391,0.027347723,0.008933065,0.005173314,0.003181506,0
18,Amnesia Haze,TRIMBOS Institute,s,1,0.487578577,0.716594772,0.923457619,0.123131277,0.169916633,0,0.051749863,1.67954197,0.216698394,0.583624352,0,0,0,0,0.206852062,0,0,3.579491921,1.258117025,0.663603666,0.794353066,0.204748234,0.530371193,0.377425384,0,0,0.323161493,0.451438623,0,0.160348213,0,0.219556643,0,0.054231479,194.9853596,11.47667677,2.322836418,1.249682136,0.64165675,0.08131534,224.5335195,5.159145519,8.616846941,210.757527,0.094507622,0.138897957,0.178994296,0.023866603,0.032935034,0,0.010030704,0.325546539,0.042002768,0.113124228,0,0,0,0,0.040094248,0,0,0.415406232,0.146006658,0.077012354,0.092186048,0.023761387,0.061550495,0.043800869,0,0,0.037503451,0.052390233,0,0.018608688,0,0.025479928,0,0.006293657,0.925164393,0.05445441,0.011021369,0.005929478,0.003044526,0.000385824
19,Amnesia Haze,TRIMBOS Institute,s,1,0.242218044,0.40038692,0.444873953,0,0.056886187,0.261971953,0.108738839,0.63516692,0,0.318829169,0,0,0,0,0.158179739,0,0,1.351854488,0.462988614,0.203016876,0.255005419,0,0.220353646,0,0,0,0.195594605,0.237675905,0,0.13369519,0,0.11141024,0,0,182.7977401,13.02081964,2.331324511,1.3723885,0.57371261,0,205.8948321,2.627251723,3.171594982,200.0959854,0.092194456,0.152397624,0.16933054,0,0.021652355,0.099713305,0.041388816,0.241760968,0,0.121354633,0,0,0,0,0.060207302,0,0,0.426238059,0.145979741,0.064010971,0.080402895,0,0.069477234,0,0,0,0.061670739,0.074938921,0,0.042153929,0,0.035127512,0,0,0.913550263,0.065072868,0.011651031,0.006858651,0.002867187,0
20,Amnesia Haze,TRIMBOS Institute,s,1,0.429098017,0.877924679,1.713925988,0.150430914,0.194820364,1.435258885,0.061652014,2.8285944,0,0.855729954,0,0,0,0,0.254006297,0,0,2.890453525,1.01289397,0.550915501,0.751023822,0,0.417509954,0,0,0,0.442214685,0.671968683,0,0.368100492,0,0.167992171,0,0,195.0132591,15.9354269,2.870565542,1.450715919,0.552787304,0.075762727,231.9730318,8.801441511,7.273072802,215.8985175,0.048753152,0.099747829,0.194732418,0.017091622,0.022135052,0.163070888,0.007004763,0.321378537,0,0.097226114,0,0,0,0,0.028859625,0,0,0.397418478,0.139266304,0.075747283,0.10326087,0,0.057404891,0,0,0,0.06080163,0.092391304,0,0.050611413,0,0.023097826,0,0,0.90326354,0.073809802,0.013295902,0.006719434,0.002560403,0.000350918
